month,day,duration,client
2,27,169,4
2,27,111,7
2,28,116,26
2,28,104,26
3,1,69,8
3,1,105,26
3,1,60,4
3,1,99,26
3,1,54,26
3,1,20,13
3,1,30,4
3,1,40,7
3,1,51,4
3,3,4,26
3,4,206,8
3,4,21,8
3,4,40,4
3,4,103,3
3,4,80,26
3,4,36,7
3,4,15,26
3,4,16,7
3,5,230,7
3,5,72,26
3,5,119,25
3,5,33,26
3,5,17,7
3,5,13,7
3,6,60,25
3,6,413,4
3,8,227,4
3,8,153,10
3,8,274,4
3,9,120,4
3,9,59,26
3,9,215,4
3,9,20,7
3,11,252,8
3,11,286,4
3,12,220,4
3,12,240,8
3,12,111,4
3,13,78,25
3,13,111,4
3,13,76,4
3,13,96,4
3,15,199,7
3,15,114,8
3,15,450,4
3,16,120,7
3,16,21,12
3,16,12,12
3,16,13,12
3,16,248,4
3,18,174,8
3,18,30,2
3,18,38,7
3,18,76,8
3,18,20,11
3,18,97,8
3,18,0,8
3,18,64,4
3,19,152,11
3,19,84,7
3,19,134,4
3,19,67,7
3,19,20,4
3,19,24,7
3,20,1,11
3,20,198,10
3,20,87,7
3,20,103,4
3,20,0,8
3,22,180,11
3,22,104,7
3,22,180,10
3,23,113,8
3,23,194,26
3,23,93,26
3,25,9,7
3,25,179,26
3,25,30,8
3,25,32,26
3,25,90,12
3,25,80,3
3,25,23,12
3,26,43,8
3,26,7,13
3,26,43,11
3,26,24,12
3,26,80,24
3,26,43,26
3,26,30,11
3,26,79,11
3,26,84,26
3,27,78,24
3,27,40,13
3,27,79,26
3,27,73,16
3,27,21,3
3,27,40,26
3,27,74,12
3,28,236,24
3,29,81,8
3,29,12,11
3,29,77,7
3,29,71,26
3,29,65,11
3,29,48,7
4,1,207,8
4,1,46,4
4,1,30,8
4,1,46,8
4,1,120,4
4,1,0,26
4,1,0,26
4,1,60,26
4,2,30,8
4,2,170,8
4,2,13,26
4,2,21,8
4,2,141,8
4,2,65,11
4,3,159,8
4,3,66,11
4,3,24,26
4,3,57,8
4,3,0,2
4,3,20,26
4,3,41,8
4,3,30,12
4,3,24,15
4,3,70,8
4,3,10,8
4,5,150,4
4,5,40,8
4,5,60,26
4,5,138,11
4,7,139,8
4,8,127,8
4,8,35,26
4,8,100,8
4,8,14,12
4,8,23,7
4,8,24,13
4,8,30,7
4,9,60,8
4,9,0,11
4,9,2,11
4,9,50,8
4,9,61,8
4,9,83,8
4,9,60,8
4,9,101,7
4,9,27,8
4,12,8,4
4,12,60,7
4,15,138,8
4,15,222,8
4,16,210,4
4,16,170,4
4,16,48,8
4,17,14,8
4,17,88,7
4,17,63,10
4,17,68,10
4,17,15,7
4,17,28,26
4,17,144,7
4,17,161,7
4,23,20,4
4,23,97,9
4,23,56,8
4,23,86,26
4,23,166,6
4,24,30,9
4,24,110,8
4,24,48,9
4,24,20,9
4,24,70,26
4,24,134,7
4,25,11,7
4,25,27,9
4,25,165,8
4,25,120,17
4,25,10,8
4,25,8,2
4,25,240,7
4,25,455,11
4,29,123,9
4,29,37,8
4,29,11,11
4,29,36,26
4,29,87,8
4,29,47,8
4,29,35,26
4,29,12,11
4,29,30,17
4,29,180,4
4,30,270,4
4,30,32,9
4,30,58,4
4,30,160,9
5,1,134,8
5,2,21,25
5,2,176,9
5,2,96,10
5,2,98,9
5,2,399,9
5,2,13,10
5,2,11,5
5,2,12,7
5,6,45,8
5,6,38,11
5,6,36,25
5,6,23,9
5,6,88,6
5,6,59,26
5,6,2,6
5,6,141,11
5,6,26,11
5,7,42,14
5,7,45,24
5,7,19,8
5,7,0,24
5,7,228,14
5,7,20,14
5,7,20,21
5,8,63,24
5,8,90,10
5,8,279,24
5,8,265,4
5,9,210,8
5,9,60,8
5,9,0,8
5,9,76,7
5,10,35,7
5,10,170,4
5,10,233,4
5,10,4,1
5,13,69,8
5,13,51,8
5,13,30,7
5,13,41,8
5,13,30,26
5,13,60,8
5,13,166,24
5,13,17,9
5,13,33,8
5,14,153,10
5,14,47,26
5,14,109,10
5,14,45,8
5,14,20,11
5,15,240,4
5,15,70,10
5,15,265,4
5,16,60,5
5,16,0,7
5,16,45,11
5,16,93,24
5,16,70,26
5,16,159,24
5,19,168,10
5,19,165,10
5,20,220,8
5,20,68,26
5,20,54,8
5,20,142,7
5,21,195,10
5,21,55,26
5,21,152,24
5,21,54,7
5,22,153,4
5,22,94,10
5,22,222,4
5,22,23,26
5,23,240,4
5,23,235,4
5,24,30,7
5,26,180,4
5,27,137,4
5,27,46,24
5,27,5,4
5,27,0,4
5,27,8,8
5,27,31,24
5,27,126,4
5,27,20,14
5,27,165,24
5,27,21,10
5,27,45,25
5,28,42,23
5,28,54,24
5,28,8,24
5,28,60,26
5,28,120,7
5,28,15,7
5,29,180,10
5,29,181,10
5,30,228,10
5,30,51,26
5,30,0,10
5,30,172,10
5,30,31,7
5,30,82,25
6,1,222,10
6,1,163,10
6,3,201,10
6,3,43,26
6,3,65,8
6,3,21,25
6,3,4,24
6,3,159,7
6,4,175,10
6,4,332,10
6,5,118,10
6,5,45,25
6,5,106,10
6,5,1,10
6,5,12,8
6,5,40,7
6,5,873,10
6,6,268,10
6,11,107,7
6,11,144,7
6,11,226,7
6,11,28,11
6,12,254,4
6,12,426,4
6,13,151,7
6,16,180,7
6,17,218,7
6,17,79,7
6,17,22,11
6,17,47,8
6,17,59,12
6,17,139,7
6,17,49,7
6,18,183,17
6,18,95,12
6,18,95,11
6,18,16,7
6,18,74,9
6,19,239,4
6,19,120,4
6,19,38,7
6,20,209,4
6,20,279,4
6,21,2,7
6,21,170,8
6,21,15,8
6,21,17,11
6,21,56,6
6,21,60,9
6,24,120,24
6,24,90,17
6,24,14,8
6,25,481,7
6,26,224,4
6,26,247,4
6,27,33,12
6,27,59,8
6,27,30,24
6,27,0,7
6,27,87,7
6,27,137,11
7,1,30,19
7,1,226,24
7,1,116,24
7,1,224,7
7,2,453,24
7,2,31,25
7,2,24,13
7,2,75,7
7,3,38,4
7,3,70,19
7,3,63,4
7,3,11,24
7,3,71,4
7,4,45,20
7,4,74,20
7,4,54,24
7,4,3,7
7,5,22,24
7,5,34,20
7,5,20,24
7,5,78,20
7,5,24,24
7,5,30,20
7,5,60,24
7,5,36,24
7,5,0,8
7,5,129,8
7,5,52,8
7,6,114,8
7,7,196,24
7,7,69,8
7,7,13,8
7,8,455,24
7,8,58,19
7,8,47,19
7,8,1024,19
7,9,67,24
7,9,76,19
7,9,30,8
7,9,252,19
7,10,11,24
7,10,60,20
7,10,50,24
7,10,6,20
7,10,11,20
7,10,34,7
7,10,30,8
7,10,0,7
7,10,306,7
7,12,29,7
7,12,245,7
7,14,143,7
7,14,13,12
7,14,22,8
7,14,18,24
7,14,83,24
7,24,28,7
7,24,52,20
7,24,18,20
7,25,16,20
7,25,55,24
7,26,60,19
7,29,225,8
7,29,12,20
7,29,137,20
7,29,12,24
7,29,11,26
7,29,11,20
7,29,9,8
7,29,62,19
7,30,107,20
7,30,7,24
7,30,99,19
7,30,63,19
7,30,10,24
7,30,15,19
7,30,6,24
7,30,74,9
7,30,62,19
7,31,87,24
7,31,18,11
7,31,100,12
7,31,15,8
7,31,74,26
7,31,13,20
7,31,82,7
8,2,20,8
8,2,106,8
8,2,19,8
8,2,196,8
8,2,9,20
8,5,72,8
8,5,50,20
8,5,27,24
8,5,77,20
8,5,89,26
8,5,42,8
8,5,72,8
8,5,6,9
8,5,32,8
8,5,33,9
8,5,2,24
8,5,29,12
8,5,17,7
8,5,29,12
8,6,35,20
8,6,20,7
8,6,6,24
8,6,61,24
8,6,13,20
8,6,72,24
8,6,33,24
8,6,30,24
8,6,147,22
8,7,17,7
8,7,9,7
8,7,116,20
8,7,143,22
8,7,74,22
8,7,16,9
8,7,48,22
8,7,33,9
8,7,21,22
8,7,120,22
8,9,30,7
8,9,76,24
8,9,124,7
8,9,360,7
8,12,35,24
8,12,7,19
8,12,32,24
8,12,58,20
8,12,58,24
8,12,82,19
8,12,328,19
8,13,217,19
8,13,24,26
8,13,2,22
8,13,5,24
8,13,3,8
8,13,19,9
8,13,9,20
8,13,193,19
8,13,0,19
8,13,81,22
8,14,140,20
8,14,73,24
8,14,111,7
8,14,156,7
8,14,57,24
8,14,3,7
8,14,18,25
8,14,32,7
8,15,90,20
8,16,30,20
8,16,30,24
8,16,42,20
8,16,50,24
8,16,0,24
8,16,0,24
8,16,63,20
8,16,23,7
8,16,12,24
8,16,0,24
8,16,68,24
8,16,209,8
8,19,55,24
8,19,156,24
8,19,47,19
8,19,114,20
8,19,52,24
8,19,15,24
8,19,22,24
8,19,85,19
8,19,20,19
8,20,347,19
8,20,22,24
8,20,152,19
8,20,113,19
8,21,600,19
8,22,118,19
8,23,60,19
8,23,138,24
8,23,4,7
8,23,70,24
8,26,259,22
8,26,208,22
8,26,31,22
8,26,133,26
8,27,9,26
8,27,5,24
8,27,55,8
8,27,100,24
8,27,27,26
8,27,13,24
8,27,18,22
8,27,0,24
8,27,42,7
8,27,0,24
8,27,27,7
8,27,30,24
8,27,12,24
8,27,42,24
8,27,63,7
8,28,360,24
8,28,41,26
8,28,90,24
8,28,36,7
8,28,88,26
8,30,238,20
8,30,30,24
8,30,32,26
8,30,213,20
9,2,134,8
9,2,30,24
9,2,0,8
9,2,84,8
9,2,50,24
9,2,62,26
9,2,9,8
9,2,62,24
9,2,30,20
9,2,71,7
9,4,130,24
9,4,30,20
9,4,64,24
9,4,40,20
9,4,24,20
9,4,33,26
9,4,30,24
9,4,57,11
9,4,67,20
9,4,18,11
9,4,24,24
9,4,21,20
9,4,29,24
9,4,45,9
9,4,49,11
9,6,70,24
9,6,120,11
9,6,50,7
9,6,61,26
9,6,200,11
9,9,164,24
9,9,37,11
9,9,34,26
9,9,120,11
9,9,55,11
9,9,25,7
9,10,30,20
9,10,10,11
9,10,159,7
9,10,249,7
9,11,236,7
9,11,152,7
9,11,60,7
9,12,170,7
9,12,22,8
9,12,109,26
9,12,40,20
9,12,40,22
9,16,89,7
9,16,40,24
9,16,140,20
9,16,10,7
9,16,81,24
9,16,71,8
9,16,14,11
9,16,27,8
9,16,27,7
9,17,21,7
9,17,12,20
9,17,79,8
9,17,13,24
9,17,4,7
9,17,45,20
9,17,103,26
9,18,65,24
9,18,6,7
9,18,25,24
9,18,20,8
9,18,12,7
9,19,292,24
9,20,120,20
9,20,180,24
9,20,30,22
9,20,14,7
9,20,12,7
9,20,13,8
9,21,105,24
9,21,60,22
10,7,25,24
10,7,23,8
10,7,86,8
10,7,41,11
10,7,30,7
10,7,82,7
10,8,8,7
10,8,26,8
10,8,2,8
10,8,15,7
10,8,73,11
10,8,43,7
10,8,4,24
10,8,266,11
10,9,74,20
10,9,34,24
10,9,2,7
10,9,19,7
10,9,0,24
10,9,0,24
10,9,30,7
10,9,8,7
10,9,23,24
10,9,149,24
10,9,30,22
10,9,43,8
10,11,42,24
10,11,4,8
10,11,40,8
10,11,60,24
10,11,30,20
10,11,3,24
10,11,75,24
10,11,195,26
10,14,22,24
10,14,106,7
10,14,48,24
10,14,150,7
10,15,9,7
10,16,54,24
10,16,20,7
10,16,7,24
10,16,41,7
10,16,18,20
10,16,1,7
10,16,14,7
10,16,47,24
10,16,0,7
10,16,17,7
10,16,38,24
10,16,71,24
10,16,5,7
10,16,17,24
10,16,73,11
10,18,60,24
10,21,268,24
10,21,83,24
10,21,32,24
10,21,93,24
10,22,310,24
10,22,62,24
10,22,6,20
10,22,117,11
10,23,60,9
10,23,120,8
10,23,0,8
10,23,0,8
10,23,128,7
10,23,91,8
10,24,498,7
10,25,62,24
10,25,19,8
10,25,48,24
10,25,60,8
10,25,30,8
10,25,77,24
10,25,9,7
10,28,86,24
10,30,300,24
11,1,65,20
11,1,189,24
11,3,104,24
11,4,236,24
11,4,60,24
11,4,60,8
11,4,129,24
11,5,195,24
11,8,180,24
11,8,128,24
11,8,14,24
11,8,60,24
11,8,316,7
11,11,60,8
11,11,162,8
11,11,37,15
11,11,8,20
11,12,27,2
11,12,134,24
11,12,88,2
11,12,11,24
11,12,140,2
11,12,63,24
11,12,61,7
11,13,100,8
11,13,130,11
11,13,23,20
11,13,189,11
11,15,38,20
11,15,238,24
11,15,210,7
11,15,5,24
11,15,27,7
11,15,37,24
11,18,289,24
11,18,35,24
11,18,167,11
11,19,50,24
11,19,133,24
11,19,259,24
11,20,170,24
11,20,22,3
11,20,40,24
11,20,150,3
11,20,32,7
11,20,24,7
11,20,25,24
11,20,18,7
11,21,2,7
11,21,24,8
11,21,16,7
11,22,401,24
11,22,30,3
11,25,24,24
11,25,0,3
11,25,158,24
11,25,32,11
11,25,77,3
11,25,187,11
11,26,93,24
11,26,20,3
11,26,108,11
11,26,59,11
11,26,209,24
11,26,24,7
11,26,104,11
11,26,60,24
11,27,106,20
11,27,44,24
11,27,74,24
11,27,94,11
11,29,240,8
11,29,120,24
11,29,55,8
12,2,81,24
12,2,155,7
12,2,151,7
12,2,101,11
12,2,21,7
12,2,91,8
12,3,66,11
12,3,30,24
12,3,100,7
12,3,14,7
12,3,177,24
12,3,81,11
12,4,11,24
12,4,190,24
12,4,272,24
12,5,30,24
12,5,163,7
12,5,13,8
12,5,369,7
12,5,25,22
12,9,132,8
12,9,46,8
12,9,3,8
12,9,36,22
12,9,24,20
12,9,8,24
12,9,45,7
12,9,42,11
12,9,190,24
12,10,40,24
12,10,20,8
12,10,116,8
12,10,153,26
12,11,47,26
12,11,10,8
12,11,148,11
12,11,11,8
12,11,41,11
12,11,50,24
12,11,0,24
12,11,37,24
12,11,91,22
12,11,107,7
12,13,92,22
12,16,299,8
12,16,30,26
12,17,300,26
12,18,40,26
12,18,24,11
12,18,0,8
12,18,101,8
12,18,0,8
12,18,87,8
12,18,29,8
12,18,50,8
12,18,50,7
12,20,120,8
12,20,100,24
12,20,7,7
12,20,7,8
12,20,101,7
12,24,120,8
12,24,18,24
12,24,105,7
